dataset,left_side,right_side,ssim
mnist,0.0,1.0,0.003960845608020504
mnist,0.0,2.0,-0.003246172960266679
mnist,0.0,3.0,0.0014633124272260285
mnist,0.0,4.0,-0.00018060558457914043
mnist,0.0,5.0,-0.0011362895747508604
mnist,0.0,6.0,-0.0008171665120881147
mnist,0.0,7.0,5.742944416749941e-05
mnist,0.0,8.0,-0.0005365208322831294
mnist,0.0,9.0,0.0006490997851414157
mnist,1.0,0.0,0.0001238412712659434
mnist,1.0,2.0,-0.0036258750759796004
mnist,1.0,3.0,0.0006116113625386262
mnist,1.0,4.0,-0.002398550912087763
mnist,1.0,5.0,0.00012981152637208963
mnist,1.0,6.0,-0.003425967878812878
mnist,1.0,7.0,-0.0016768728629431267
mnist,1.0,8.0,-0.0004274118408327633
mnist,1.0,9.0,0.0014256896370405715
mnist,2.0,0.0,-0.0018333699047047907
mnist,2.0,1.0,0.0017580935107991723
mnist,2.0,3.0,-0.0034267455355622735
mnist,2.0,4.0,-0.0009604852438061519
mnist,2.0,5.0,0.0010185252906545822
mnist,2.0,6.0,0.0035891935528136153
mnist,2.0,7.0,0.003380284220596018
mnist,2.0,8.0,-0.006778361666884453
mnist,2.0,9.0,-0.0003120501786407421
mnist,3.0,0.0,0.001059434963557704
mnist,3.0,1.0,0.000158940704691375
mnist,3.0,2.0,-0.007773361794749234
mnist,3.0,4.0,0.0013259997319577256
mnist,3.0,5.0,-0.0001885332842321294
mnist,3.0,6.0,-0.0010966939944677824
mnist,3.0,7.0,-0.004671470320272435
mnist,3.0,8.0,8.553966118023954e-05
mnist,3.0,9.0,-0.004814150367826247
mnist,4.0,0.0,0.002977933874736918
mnist,4.0,1.0,0.001021774509932021
mnist,4.0,2.0,0.0001834879892005263
mnist,4.0,3.0,5.552768496904525e-05
mnist,4.0,5.0,0.0015652575062419748
mnist,4.0,6.0,-0.006364663481573489
mnist,4.0,7.0,0.0033195423547749694
mnist,4.0,8.0,0.002053019538275157
mnist,4.0,9.0,0.001262880669530381
mnist,5.0,0.0,-0.00326530784294371
mnist,5.0,1.0,-0.00016334928755089585
mnist,5.0,2.0,-0.0009282490278151251
mnist,5.0,3.0,0.003433988635852963
mnist,5.0,4.0,-0.000323931006512422
mnist,5.0,6.0,0.0007084985718934602
mnist,5.0,7.0,0.011392725323702465
mnist,5.0,8.0,-0.001176460127748171
mnist,5.0,9.0,-0.002555024338065226
mnist,6.0,0.0,-0.0006508327695222631
mnist,6.0,1.0,0.0032701833040298545
mnist,6.0,2.0,0.0007731354515968341
mnist,6.0,3.0,0.0013574722598974258
mnist,6.0,4.0,-0.00029271616110213266
mnist,6.0,5.0,-0.00018141585886761918
mnist,6.0,7.0,0.0010528181057954382
mnist,6.0,8.0,0.0017199448023333499
mnist,6.0,9.0,0.07616262082335241
mnist,7.0,0.0,0.0029791030016277117
mnist,7.0,1.0,-0.005709419854612811
mnist,7.0,2.0,0.0007857151724330107
mnist,7.0,3.0,-0.00014433000950859692
mnist,7.0,4.0,-0.0049419268560589435
mnist,7.0,5.0,-0.0014288705992943213
mnist,7.0,6.0,-0.001639651068159227
mnist,7.0,8.0,0.0008339689284668205
mnist,7.0,9.0,-7.62488576529096e-05
mnist,8.0,0.0,0.0009615881253778671
mnist,8.0,1.0,0.0005645621963428796
mnist,8.0,2.0,-0.003925118417393936
mnist,8.0,3.0,-0.00041550474449490493
mnist,8.0,4.0,-0.0010355525550627142
mnist,8.0,5.0,-0.0006051286643946589
mnist,8.0,6.0,-0.0016457206711645099
mnist,8.0,7.0,-0.0010985443878292814
mnist,8.0,9.0,-0.0010871424826572247
mnist,9.0,0.0,0.0025386373845462263
mnist,9.0,1.0,0.002967674888876015
mnist,9.0,2.0,0.004287488989809843
mnist,9.0,3.0,-0.0008825344190172044
mnist,9.0,4.0,-0.0032058830949104077
mnist,9.0,5.0,6.589319132034676e-05
mnist,9.0,6.0,0.0010999310440848304
mnist,9.0,7.0,0.0006160588368266614
mnist,9.0,8.0,0.0004062640437380713
